Geracao,Fitness,Caminho
1,0,CCEDCECBEBCDDEDEDECCBCBBEBDECDEDBBCCCEEDBBCBCDEEDBEE
2,549,DBEDBDEDDCBCBCEEBECEECBEEDCCEBDCB
3,610,EEDEEDCEBCDCEEDECCBEBBBCECCBCCE
4,669,ECCEEBCDCBDEDDBDBECEECBECDCDEBDCB
5,690,DDDCBCEDDCBCBCEECCBEBBBCECECCDE
6,708,CBCECCEEDBCCDDBECCBDECECEBEBCCB
7,730,ECDCBBCBCCDEDBCECCBEBEBDECEBCCE
8,760,CCCECBECDBDCEBECDCBBBDBECE
9,770,ECDCBBCBCCDEDEBCECCEECBDDCCED
10,809,CBCECCDDDCEB
11,809,CBCECCDDDCEB
12,809,CBCCCCDDDCEB
13,830,CBCECCDBDCEC
14,839,CBCDCBEDDCEB
15,839,BCCCBBEDECEB
16,840,CECECCEBECEC
17,843,EDCCCBECDBEB
18,843,ECCCBBECDBEB
19,849,ECCCBBEBECEC
20,849,ECCCBBDBDCEC
21,849,ECCCBBEDCCEB
22,849,ECCCBBECCCEB
23,849,ECCCBBDBDCEC
24,849,ECCCBBEDCCEB
25,849,ECCCBBDBDCEC
26,849,BCCCBBBBDCEC
27,849,ECCCBBEDCCEB
28,849,BCCCBBCDCCEB
29,849,BCCCEBEDCCEB
30,849,ECCCDBEDCCEB
31,849,ECCCBBEECCCB
32,849,ECCCBBCDCCEB
33,849,DCCCBBEDCCEB
34,849,DCCCBBEDCCCB
35,849,ECCCBBDDDCBC
36,849,DCCCBBCDCCEB
37,849,DCCCBBEDCCEB
38,849,EBCCCBEDCCEB
39,849,DCCCBBCDCCEB
40,849,BCCCBBCDCCEB
41,849,ECCCDBEDCCEB
42,849,DCCCBBCDCCEB
43,849,DCCCBBDDDCBC
44,849,BCCCBBCDCCEB
45,849,ECCCBBEDCCDB
46,849,DCCCBBCDCCEB
47,849,DCCCBBCDCCEB
48,849,BCCCBECDCCDB
49,849,DCCCBBDDDCBC
50,849,ECCCBBCDCCDB
51,849,DCCCBBCDDCCB
52,849,DECCBBCDCCEB
53,849,CECCBBCDCCEB
54,849,ECCCBBCDCCCB
55,849,DECCBBDDCCCB
56,849,EECCBBCDCCEB
57,849,DCCCBBDCCCDB
58,849,CDCCBBDDCCCB
59,849,DECCBBCDCCEB
60,849,ECBCBBCDCCEB
61,849,ECCBBBDCCCEB
62,849,DCCCBBCDCCCB
63,849,BCCCBBDCCCDB
64,849,BCCCBBCDCCCB
65,849,CECCBBDCCCEB
66,849,ECBCBBDCCCDB
67,849,CECCBBDCCCEB
68,849,DDCCBBDDCCCB
69,849,DDCCBBCDCCEB
70,849,EECCBBDCCCEB
71,849,DCCCBBCCCCCB
72,849,CEECBBDCCCDB
73,849,CECCBBCCCCDB
74,849,ECBCBBBDCCCB
75,849,CEBCCBDCCCDB
76,849,ECECBBCCCCCB
77,849,CECCBBEDDCCB
78,849,CECCBBEDCCCB
79,849,CEBCCBEDCCCB
80,849,BCBCBBCDCCCB
81,849,ECBCBBEDCCCB
82,849,ECBCBBEECCCB
83,849,ECBCBBEDCCCB
84,849,ECBCBBBCCCEB
85,849,ECBCBBCCCCCB
86,849,CBBCBBECCCDB
87,849,ECBCBBCCCCEB
88,849,ECDCBBBCCCEB
89,849,ECBCBBCECCCB
90,849,CBBCDBEDCCCB
91,849,ECBCBCEDCCCB
92,849,ECCCDBEDCCCB
93,849,DCBCBBCDCCCB
94,849,ECBCBECCCCCB
95,849,DECCBBECCCCB
96,849,CCBCBECCCCDB
97,849,ECBCBBEDCCCB
98,849,CCDCBBEDCCCB
99,849,ECBCBBEDCCCB
100,849,ECBCEBEECCCB
101,849,CBBCBEEDCCCB
102,849,ECBCBDEDCCCB
103,849,CDBCDBEDCCCB
104,849,ECBCBBECCCCB
105,849,CBBCBEEDCCCB
106,849,CBBCBDEDCCCB
107,849,CCBCBECCCCCB
108,849,CBBCBDCCCCCB
109,849,BBCCBBCCCCCB
110,849,ECBCBBCCDCDB
111,849,CCECDBCCCCCB
112,849,CCECDBEDECCB
113,849,CBDCBEEDCCCB
114,849,CCECDBCCCCEB
115,849,CBECBDECCCCB
116,849,ECBCBBDCCCEB
117,849,CBECBDBCDCCB
118,849,ECBCBCEDCCCB
119,849,CBDCBEECCCCB
120,849,CCECDBECCCCB
121,849,ECBCBBEDCCCB
122,849,CCBCDEDCDCCB
123,849,ECBCBECCCECB
124,849,CCEDDBEDCCCB
125,849,CBBCDBDCDCCB
126,849,CCEDDBCCCECB
127,849,CBECBDEDCCCB
128,849,CCEBDBECCCCB
129,849,CCEBDBECCCCB
130,849,CBECBDECCCCB
131,849,CCEBDBCCCEEB
132,849,CBBCBDEECCCB
133,849,CBECBDCCCEDB
134,849,CCEBDBDCDCEB
135,849,CCDBDBDCCCEB
136,849,CCEBDBCCCECB
137,849,CCDBBBCDCDCB
138,849,CCBBDECCCECB
139,849,CCEBDBCCCEEB
140,849,CCBDDBCCCEDB
141,849,CCEBDBCCCEDB
142,849,CCCBDBCCCEDB
143,849,CCBBDEECCCEB
144,849,CCCBCBDCCEEB
145,849,CCBBEEDCDCCB
146,849,CCEBDBCCDDCB
147,849,DCCBCBDCCECB
148,849,CCDBDBCCCECB
149,849,CCBBEEDCCCEB
150,849,CCEBDBCCCDCB
151,849,CCEBDBEDDCCB
152,849,CCEBDBCCDDCB
153,849,CCEBDBECCDCB
154,849,CCBBDBECCDCB
155,849,CCEBDBCCCEDB
156,849,CCEBDBCDCCCB
157,849,CCCBDBCCDDCB
158,849,CCEBDBCCDDEB
159,849,CDCBDBCCDDCB
160,849,CCEBDBCCCDCB
161,849,CCEBDBCCDECB
162,849,CCBCDBCCDDCB
163,849,CCEBDBCDCDCB
164,849,CCEBDBCDCCCB
165,849,CCDBDBCDCCCB
166,849,CCEBDBCDCCDB
167,849,CCEDDBCCDDCB
168,849,CCBCDBECDDCB
169,849,CCEDDBCCDDCB
170,849,CCEDDBCCCDDB
171,849,CCECDBCCDDEB
172,849,CCBCDBCCDDEB
173,849,CCEDDBCCCDDB
174,849,CCECDBCCCDDB
175,849,CCECDBCDCDCB
176,849,CCEDDBCDCCEB
177,849,CCEDDBCCDCCB
178,849,CCEDDBCCCDDB
179,849,ECBCDBCCCDCB
180,849,ECBCDBCCDDCB
181,849,CCCBDBCDCCCB
182,849,CCBBDBCCDDCB
183,849,ECBCDBCDCCEB
184,849,BCCBDBEDCCCB
185,849,CCDBDBEDCCCB
186,849,BCCBDBCCDDCB
187,849,CCBEEBCDCDCB
188,849,CCBEEBCDCCCB
189,849,BCBCDBCDCCCB
190,849,BCBCDBCDDCCB
191,849,BCCBDBCCCCCB
192,849,ECBCDBCDCCEB
193,849,ECBCEBCDCDCB
194,849,BCBCDBCDCCCB
195,849,CBBEEBCBCCCB
196,849,CCDCBBCDCCDB
197,849,CCDCBBCDCDCB
198,849,CCBEEBCDCCCB
199,849,CCBEEBCDCDCB
200,849,BCBCCBCCDCCB
