Geracao,Fitness,Caminho
1,980,CBCBCBCCCBEDCBCBCBBBCBCBCBCCCBBCBBCBCCEECBDEDDEEDECBDDCBEECEEBCEEEDDDDEBCBCBCEDEDEDEDEDEDBCBBBDDEEDDEDEDEECCCDEBCDEDEEEEBCDEDEDEBBCBCBBCBCCCDEBBCCBB
2,970,CBCCBBCBCCCBEDBCEDCBCBBCCBCBCBEDBCCBEEDECEDBCEEEDDEDDBDDCBCBCBEECBCEEBCEDDEEDDE
3,968,CCEECBDEDECEEDDBDEDECEEEEDEDDBBBDDEEDECBCBCBCC
4,968,CCEEDEDDCBEECBCEEEDEDBBBCCBCBCCBCBCBBCCDEDEDDBCBDDCBEDCBEDEECEEDEDEDDEEDEBCEEEBBCBCCDEBCDEBBCBBDECCCDEDDEEDDEDEEDEDEDDEEBBCBCBCBBDDDEDEDDECBDDEECCBC
5,963,CCEDCBCBEECBCEDBDEDDCBBCEDBCCBCBCBEDCBCBEEDECBCBCEDBCEDEEBB
6,960,CBCBCCCBBCBCBCEDCBBCCBEECBCEEBCBBCCBCDDE
7,960,CCBBCCCBEDCBBBCCCBCBCBEECBCEEBCBBCCBCDDE
8,960,CCCBBCEDEDBBCCBCCBBCCBEECBCEEBCBBCCBCDDE
9,960,CCCBBCEDEDBBCCBCCBBCCBEEDDCBEDBBCBCCEDEDBCCBBBCCEECBCEDBCBDDEECEDEEDDEEDED
10,960,CCBBCCBBCCBCEDBCBCEDCBEECBCEEBCBBCCBCDDE
11,950,CCBBCCBBCCBCEDBCCCCBCBEEDEDECEEEE
12,950,CCBBCBCCBBCBCCCBCCCBCBEEDEDECEEEE
13,950,CCBBCCCBEDCBBBCCCCCBCBEEDEDECEEEE
14,950,CCBBCCCBEDCBBBCCCCEBCBEEDEDECEEEE
15,950,CCCBBCEDEDBBCCBECCCBCBEEDEDECEEEE
16,950,CCBBCBCCBBCBCCCBCCCBCBEEDEDECEEEE
17,950,CBCBCBCCBBCCBBCCCCCBCBEEDEDECEEEE
18,950,CCBBCCCBEDCBBBCCCCCBCBEEDEDECEEEE
19,950,CCBBCCCBEDCBBBCCCCCBCBEEDEDECEEEE
20,950,CCCBBCEDEDBBCCBECCCBCBEEDEDECEEEE
21,950,CCBBCBCCBBCBCCCBCCCBCBEEDEDECEEEE
22,950,CCBBCCCCBBCBCCBBCCCBCBEEDEDECEEEE
23,950,CBCBCBCCBBCCBBCCCCCBCBEEDEDECEEEE
24,950,CCBBCCCBEDCBBBCCCCCBCBEEDEDECEEEE
